Codpro;Nompro;Valuni;Nrotab;Codean;Codea2;us01;us02;us03;us04;us05;us06;us07;us08;us09;us10;us11;us12;us13;us14;us15;us16;us17;us18;us19;us20;us21;us22;us23;us24;us25;us26;us27;us28;us29;us30;Tunida;U100xx;U105xx
1;Impuesto A La Bolsa;100;01;;.1 BOLSA;656;7800;606;374;120;;;;;;;;;;;;;;;;;;;;;;;;;;9556;8456;980
2;Pop It Cuadrado Multicolor;15900;01;;.1322;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
3;Pop It Coraz¢n Unicolor;15900;01;;.1323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Pop It Marciano Multicolor;15900;01;;.1324;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4
5;Regla De 20 Cm. Faber;1000;01;0007166207245;.10300005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Pop It Mickey Multicolor;15900;01;;.1326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Pop It Balon Americano Multicolor;15900;  ;;.1327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Pop It Control Rosado Y Azul;15900;01;;.1328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Pop It Cono De Helado Multicolor;15900;01;;.1329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Pop It Mariposa Multicolor;15900;01;;.13210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Pop It Paleta De Helado Multicolor;15900;01;;.13211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Pop It Minie Multicolor;15900;01;;.13212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Pop It Among Us Unicolor;15900;  ;;.13213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Pop It Among Us Multicolor;15900;01;;.13214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Pop It Coraz¢n Multicolor;15900;01;;.13215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Pop It Galleta Multicolor;15900;  ;;.13216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Pop It Gatico Multicolor;15900;01;;.13217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Pop It Dinosaurio Multicolor;15900;01;;.13218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Pop It Ficha Rompecabezas Multicolor;15900;01;;.13219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Pop It Sistema Solar;49900;  ;;.13220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Pop It Fidget Spinners;19900;01;;.13221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Busca Y Encuentra Con Tapitas;74900;  ;9781503754096;.35767390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Mi Primera Biblioteca Disney;98900;01;9781503733374;.35768284;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;
24;Nota Musical Con 6 Botones;74900;  ;9781503745841;.35768030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Puedo Cepillarme Los Dientes;65900;  ;9781450896412;.35769025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Pop It Unicornio Multicolor;15900;01;;.13226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Pop It Osito Multicolor;15900;01;;.13227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Control Remoto De Perrito;64900;  ;746055015501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Mi Primer TelÇfono De Aprendizaje Ni§as;119900;  ;791341004100;.20279134100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Rompecabezas Animales De La Granja;114900;  ;744502010201;.20274450201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Mi Primer Osito;89900;  ;740167016701;.20274016701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Monopoly Subasta;24900;01;195166111292;.202298050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
